instance,rule_preelon,GPT category preelon,rule_postelon2023,GPT category postelon2023,rule_postelon2024,GPT category postelon2024
podcastindex.social,['Not for promotion of podcasts.'],{'Advertising & Commercialization': 1},['Not for promotion of podcasts.'],{'Advertising & Commercialization': 1},[nan],{'Not Applicable': 1}
pol.social,"['Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )\r\nZwracamy się do siebie z szacunkiem.', 'Nie dopuszczamy poniższych rzeczy:\r\n- Pornografii\r\n- Przemocy seksualnej\r\n- Homofobii, transfobi, ksenofobi\r\n- Rasizmu, seksizmu\r\n- Fake newsów\r\n- Przemocy w każdej formie do innych użytkowników\r\n- Treści niedozwolonych polskim prawem.']","{'A: Harassment, Not Applicable': 1, 'Hate Speech, NSFW, Incitement of Violence, Mis/Disinformation/Conspiracy, Illegal Content': 1}","['Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )\r\nZwracamy się do siebie z szacunkiem.', 'Nie dopuszczamy poniższych rzeczy:\r\n- Pornografii\r\n- Przemocy seksualnej\r\n- Homofobii, transfobi, ksenofobi\r\n- Rasizmu, seksizmu\r\n- Fake newsów\r\n- Przemocy w każdej formie do innych użytkowników\r\n- Treści niedozwolonych polskim prawem.']","{'Not Applicable': 1, 'Hate Speech, NSFW, Incitement of Violence, Mis/Disinformation/Conspiracy, Illegal Content': 1}",[nan],{'A: Not Applicable': 1}
post.lurk.org,[nan],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1}
precure.ml,"['プリキュアシリーズへの愛があることは、参加のそもそもの前提とさせて頂きます。', 'ネタバレを含む投稿にはCW機能の使用をお願いします。その際、注釈（タイトル）は必ず、ネタバレを含むという意図がわかるものにしてください。', '規約にもある通り、投稿の著作権は本人にあります。当然ながら、不適切な投稿の責任も本人が持つものとします。', 'いかなる理由があっても、東映公式やおもちゃ業界等の守秘事項の投稿はしないでください。（なお、商標の出願公開は守秘事項に含みません）', '大事なお知らせを伝えることがある「お知らせボット」へのフォローを外すことは出来ません。外しても、数分後にフォローが復活します。']","{'Not Applicable': 1, 'Content Warnings': 1, 'Copyright/Piracy': 1, 'Copyright/Piracy, Illegal Content': 1, 'A: Automated tools': 1}","['プリキュアシリーズへの愛があることは、参加のそもそもの前提とさせて頂きます。', 'ネタバレを含む投稿にはCW機能の使用をお願いします。その際、注釈（タイトル）は必ず、ネタバレを含むという意図がわかるものにしてください。', '規約にもある通り、投稿の著作権は本人にあります。当然ながら、不適切な投稿の責任も本人が持つものとします。', 'いかなる理由があっても、東映公式やおもちゃ業界等の守秘事項の投稿はしないでください。（なお、商標の出願公開は守秘事項に含みません）', '大事なお知らせを伝えることがある「お知らせボット」へのフォローを外すことは出来ません。外しても、数分後にフォローが復活します。']","{'Not Applicable': 1, 'Content Warnings': 1, 'Copyright/Piracy': 1, 'Copyright/ Piracy, Illegal Content': 1, 'A: Automated tools': 1}","['プリキュアシリーズへの愛があることは、参加のそもそもの前提とさせて頂きます。', 'ネタバレを含む投稿にはCW機能の使用をお願いします。その際、注釈（タイトル）は必ず、ネタバレを含むという意図がわかるものにしてください。', '規約にもある通り、投稿の著作権は本人にあります。当然ながら、不適切な投稿の責任も本人が持つものとします。', 'いかなる理由があっても、東映公式やおもちゃ業界等の守秘事項の投稿はしないでください。（なお、商標の出願公開は守秘事項に含みません）', '大事なお知らせを伝えることがある「お知らせボット」へのフォローを外すことは出来ません。外しても、数分後にフォローが復活します。']","{'Not Applicable': 1, 'Content Warnings': 1, 'Copyright/Piracy': 1, 'Copyright/Piracy, Illegal Content': 1, 'Automated tools': 1}"
pub.osrx.social,"['Keine Hassrede, Hetze, Rassismus oder Mobbing.']","{'Hate Speech, Harassment': 1}","['Keine Hassrede, Hetze, Rassismus oder Mobbing.']","{'Hate Speech, Harassment': 1}",[nan],{'Not Applicable': 1}
reactions-test.mara.guru,"['본 서버는 마스토돈 이모지 리액션 기능 테스트용 서버입니다. 접속 안정성을 보장하지 않으며 데이터 역시 소실될 수 있습니다.', '이외 규칙은 마라탕.인생 서버 규칙을 따릅니다. https://maratang.life/about']","{'Not Applicable': 1, 'A: Links & Outside Content': 1}","['본 서버는 마스토돈 이모지 리액션 기능 테스트용 서버입니다. 접속 안정성을 보장하지 않으며 데이터 역시 소실될 수 있습니다.', '이외 규칙은 마라탕.인생 서버 규칙을 따릅니다. https://maratang.life/about']","{'Not Applicable': 1, 'Links & Outside Content': 1}","['본 서버는 마스토돈 이모지 리액션 기능 테스트용 서버입니다. 접속 안정성을 보장하지 않으며 데이터 역시 소실될 수 있습니다.', '이외 규칙은 마라탕.인생 서버 규칙을 따릅니다. https://maratang.life/about']","{'Not Applicable': 1, 'A: Links & Outside Content': 1}"
ruhr.social,"['Sei immer freundlich und höflich. Behandle andere mit Respekt.', 'Belästige und beleidige niemanden und unterlasse persönliche Angriffe.Weder allein noch als Gruppe. Das Veröffentlichen oder die Androhung von Veröffentlichung von personen-identifizierenden Informationen (""doxing"") wird als Belästigung ausgelegt.', 'Kontaktiere keine Nutzer:innen die angegeben haben, dass sie nicht kontaktiert werden möchten.', 'Nochmal ganz deutlich: Wir dulden keine nationalistische Propaganda, keine Nazi-Symbolik und keine Förderung der Ideologie des Nationalsozialismus!', 'Poste keine pornographischen oder sexualisierten Inhalte. Dazu gehören auch Witze und Kommentare.', 'Veröffentliche keinen Spam oder kommerzielle Werbung. Kommerzielle Werbung in diesem Zusammenhang bedeutet, wenn die veröffentlichten Inhalte keinen persönlichen Bezug aufweisen und eindeutig dazu gedacht sind, direkt oder indirekt Geld zu erwirtschaften.', 'Keine Killerphrasen, Scheinargumente, schwarze Rhetorik oder Sophismus', 'Diskutiere Moderationsentscheidungen nicht zuerst in öffentlichen Toots', 'Die Nutzung oder Befürwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter Sprache wird nicht geduldet', 'Verharmlosende oder gutheißende Inhalte zu Weißer Vorherrschaft, Antisemitismus, Transphobie oder anderen hasserfüllten Ideologien werden nicht geduldet.', 'Halte dich an die in Deutschland geltenden Gesetze (verbietet u.a. auch gewaltverherrlichende Inhalte).', 'Nutze Inhaltswarnungen für Posts und NSFW-Marker bei Medien im Falle von kontroversen, aufrührerischen oder triggernden Themen', 'Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht']","{'Not Applicable': 2, 'Hate Speech': 2, 'Harassment, Doxxing/Personal Info': 1, 'Harassment': 1, 'Hate Speech, Illegal Content': 1, 'NSFW': 1, 'Advertising & Commercialization, Spam': 1, 'Off-topic/topic specific': 1, 'Illegal Content, Incitement of Violence': 1, 'Content Warnings, NSFW': 1, 'Mis/Disinformation/Conspiracy': 1}",[nan],{'A: Not Applicable': 1},[nan],{'A: Not Applicable': 1}
sajin.life,"['타인을 모욕, 괴롭힘, 사칭 명예 훼손등의 목적으로 계정을 생성하거나 컨텐츠를 업로드 하지 마세요.', '다른 사람이 불쾌감을 느낄 수 있는 컨텐츠는 NSFW 표시로 가려주세요.', '인종, 성정체성, 장애, 지역 및 국적등을 이유로 다른 사람을 차별하는 행위를 금지합니다.', '과도한 욕설 혹은 높은 수위의 게시글은 NSFW를 적용하고 공개 범위를 변경해주세요.', '타인의 명시적인 동의 없이 개인 정보를 게시하거나 공유하지 마세요.', '스팸 행위 및 이를 위한 계정 생성을 금지합니다.', '위의 규칙들을 악용하여 서버 이용을 방해하는 행위를 금지합니다.']","{'NSFW, Content Warnings': 2, 'Harassment, Impersonation': 1, 'Hate Speech': 1, 'Doxxing/ Personal Info': 1, 'Spam': 1, 'A: Harassment': 1}","['타인을 모욕, 괴롭힘, 사칭 명예 훼손등의 목적으로 계정을 생성하거나 컨텐츠를 업로드 하지 마세요.', '다른 사람이 불쾌감을 느낄 수 있는 컨텐츠는 NSFW 표시로 가려주세요.', '인종, 성정체성, 장애, 지역 및 국적등을 이유로 다른 사람을 차별하는 행위를 금지합니다.', '과도한 욕설 혹은 높은 수위의 게시글은 NSFW를 적용하고 공개 범위를 변경해주세요.', '타인의 명시적인 동의 없이 개인 정보를 게시하거나 공유하지 마세요.', '스팸 행위 및 이를 위한 계정 생성을 금지합니다.', '위의 규칙들을 악용하여 서버 이용을 방해하는 행위를 금지합니다.']","{'Harassment, Impersonation': 1, 'Images, NSFW': 1, 'Hate Speech': 1, 'NSFW, Content Warnings': 1, 'Doxxing/ Personal Info': 1, 'Spam': 1, 'A: Harassment': 1}",[nan],{'A: Not Applicable': 1}
sakurajima.moe,"['You may not harass/bully people, incite violence, and/or post hate speech (e.g. racism, homophobia, transphobia, ableism, etc). This includes other abusive behavior such as cyberbullying, brigading/dogpiling, doxxing, trolling, swatting, sending death threats, abusing #fediblock tag,  etc.', 'Do not post misinformation (Anti-Vaxx, Covid-19 misinformation, 5G conspiracy theories) or anything to extremist movements (National Socialism, Alt-Right, Ultra-MAGA, etc)', 'Do not post images associated with hate movements, extremist ideologies or groups (Confederate States, Alt-Right, etc.).', 'NSFW content must be tagged (content warning applied). No posting of underaged sexual-explicit content (real life and lolicon/shotacon) is allowed. This rule is handled differently for servers on the exception list, see about page.', 'Properly credit artwork that you didn’t create. Use #AIArt for any artwork that is generated from AI so users can properly filter it.', 'Do not post SPAM, links to scam sites, pirated materials, phishing sites, or websites that break federal laws. Self promotion is OK, as long the links are safe and does not break the above rules.', 'By using this service, you are expected to follow the laws of the United States of America. Refrain from posting anything that may break federal laws.', 'No mini-modding is allowed. If you see any post break the rules, report the post instead.', 'Sensitive content (e.g. violence, blood/gore, NSFW) and other potentially upsetting or triggering topics should be put behind a content warning. It is recommended to put any spoilers, food, eye contact, and political content behind a content warning, but not necessarily required.']","{'Harassment, Incitement of Violence, Hate Speech, Doxxing/Personal Info, Dogpiling, Trolling': 1, 'Mis/Disinformation/Conspiracy, Incitement of Violence': 1, 'Hate Speech, Images': 1, 'A: NSFW, Content Warnings, Illegal Content': 1, 'A: Copyright/Piracy, Links & Outside Content': 1, 'A: Spam, Links & Outside Content, Copyright/Piracy, Illegal Content': 1, 'Illegal Content': 1, 'Not Applicable': 1, 'Content Warnings, NSFW': 1}",[nan],{'Not Applicable': 1},"['You may not harass/bully people, incite violence, and/or post hate speech (e.g. racism, homophobia, transphobia, ableism, etc). This includes other abusive behavior such as cyberbullying, brigading/dogpiling, doxxing, trolling, swatting, sending death threats, abusing #fediblock tag,  etc.', 'Do not post misinformation (Anti-Vaxx, Covid-19 misinformation, 5G conspiracy theories) or anything to extremist movements (National Socialism, Alt-Right, Ultra-MAGA,  voicing support for fascist/totalitarian regimes, etc)', 'Do not post images associated with hate movements, extremist ideologies or groups (Confederate States, Alt-Right, etc.).', 'NSFW content must be tagged approprately with content warning applied or marked as sensitive. No posting of underaged sexual-explicit content (real life/CSAM/CSEM and lolicon/shotacon) is allowed. This rule is handled differently for servers on the exception list, see about page.', 'Properly credit artwork that you didn’t create. Use #AIArt for any artwork that is generated from AI so users can properly filter it.', 'Do not post SPAM, links to scam sites, pirated materials, phishing sites, or websites that break federal laws. Self promotion is OK, as long the links are safe and does not break the above rules.', 'By using this service, you are expected to follow the laws of the United States of America. Refrain from posting anything that may break federal laws.', 'No mini-modding. If you see any post break the rules, report the post instead.', 'Sensitive content (e.g. violence, blood/gore, NSFW, self harm, eating disorders) should be put behind a content warning or mark sensitive. Demanding and/or berating users for not using CW, except from a moderator is not allowed.', 'Creator accounts that consist of more than one member or small businesses must be Japanese media/culture related. This restriction doesn’t apply to individuals.', 'You may operate bots, but they must follow our rules and must be Japanese Media related. No more than 4 public posts in an hour or 16 unlisted posts in an hour. No repetitive posts, unless unlisted.']","{'Harassment, Incitement of Violence, Hate Speech, Doxxing/Personal Info, Dogpiling, Trolling': 1, 'Mis/Disinformation/Conspiracy, Hate Speech': 1, 'Hate Speech, Images': 1, 'NSFW, Content Warnings, Illegal Content': 1, 'Images, Links & Outside Content': 1, 'A: Spam, Links & Outside Content, Copyright/Piracy, Illegal Content': 1, 'Illegal Content': 1, 'Not Applicable': 1, 'Content Warnings, NSFW': 1, 'Off-topic/topic specific': 1, 'Automated tools, Spam': 1}"
scicomm.xyz,"['Be civil, polite, and respectful in your posts and replies.', ""Use the Content Warning (CW) feature for your posts. If you are not sure, do it anyway: treat it like a 'Subject' header for your message."", 'Include an image description to all images. The description should describe the image.', 'No language or imagery which is: spam or advertising, harassing, pornographic, violent, xenophobic, nationalistic, racist, sexist, homophobic, transphobic, ableist, or otherwise discriminatory.', 'Please do not use bots. This instance is for humans only. There are many other instances that will let you develop and run bots.', 'Avoid cross-posters wherever possible. If you do use a cross-poster then be sure to maintain regular healthy engagement with your account here directly.', 'Read the full list of rules and acceptable behaviour and content standards. These are below. If you have any questions or spot any inconsistencies, please raise the issue with a moderator.', 'Please do not use URL shortening services. Always include the full URL in your posts, copied from the address bar of your browser. All links count as 23 characters in your post regardless of their length, long or short.']","{'Not Applicable': 2, 'Content Warnings': 1, 'A: Images': 1, 'Hate Speech, Harassment, NSFW, Advertising & Commercialization, Spam': 1, 'Automated tools': 1, 'Reposting/Crossposting': 1, 'Links & Outside Content': 1}",[nan],{'A: Not Applicable': 1},"['Be civil, polite, and respectful in your posts and replies.', ""Use the Content Warning (CW) feature for your posts. If you are not sure, do it anyway: treat it like a 'Subject' header for your message."", 'Include an image description to all images. The description should describe the image.', 'No language or imagery which is: spam or advertising, harassing, pornographic, violent, xenophobic, nationalistic, racist, sexist, homophobic, transphobic, ableist, or otherwise discriminatory.', 'Please do not use bots. This instance is for humans only. There are many other instances that will let you develop and run bots.', 'Avoid cross-posters wherever possible. If you do use a cross-poster then be sure to maintain regular healthy engagement with your account here directly.', 'Read the full list of rules and acceptable behaviour and content standards. These are below. If you have any questions or spot any inconsistencies, please raise the issue with a moderator.', 'Please do not use URL shortening services. Always include the full URL in your posts, copied from the address bar of your browser. All links count as 23 characters in your post regardless of their length, long or short.']","{'Not Applicable': 2, 'Content Warnings': 1, 'Images': 1, 'Hate Speech, Harassment, NSFW, Advertising & Commercialization, Spam': 1, 'Automated tools': 1, 'Reposting/Crossposting': 1, 'Links & Outside Content': 1}"
sciencemastodon.com,"['Please be as kind, polite, and understanding as you would be in a cocktail party of friends and strangers. Harassment, racism, bullying will get you shown to the door.', 'Users may not be anonymous, at least while this site is in its infancy.', 'Users should be scientists or journalists.', 'If your application is rejected, please see rules 2 and/or 3.']","{'Not Applicable': 2, 'Harassment, Hate Speech': 1, 'Impersonation': 1}",[nan],{'Not Applicable': 1},"['Please be as kind, polite, and understanding as you would be in a cocktail party of friends and strangers. Harassment, racism, bullying will get you shown to the door.', 'Users may not be anonymous, at least while this site is in its infancy.', 'Users should be scientists or journalists.', 'If your application is rejected, please see rules 2 and/or 3.']","{'Not Applicable': 2, 'Harassment, Hate Speech': 1, 'Impersonation': 1}"
sciences.social,"['Treat people with respect.', 'Use your real name and be yourself. Your real world reputation is valuable here and your reputation here is valuable in the real world.', 'No sexism, racism, homophobia or transphobia or abusive behavior', 'Use content warnings for ""off-topic"" posts including rants and non-academic political or election content.']","{'Not Applicable': 1, 'Impersonation': 1, 'Hate Speech, Harassment': 1, 'Off-topic/topic specific, Content Warnings': 1}",[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1}
sigmoid.social,"['No racism, sexism, homophobia, transphobia, xenophobia, or discrimination in general', 'No sexually explicit or violent media', 'No harassment, dogpiling or doxxing of other users', 'Do not share intentionally false or misleading information', 'Follow the Code of Conduct']","{'Hate Speech': 1, 'NSFW, Images': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Not Applicable': 1}",[nan],{'Not Applicable': 1},"['No racism, sexism, homophobia, transphobia, xenophobia, or discrimination in general', 'No sexually explicit or violent media', 'No harassment, dogpiling or doxxing of other users', 'Do not share intentionally false or misleading information', 'Follow the Code of Conduct']","{'Hate Speech': 1, 'NSFW, Images': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Not Applicable': 1}"
social.data.coop,"['Do not engage in homophobic, racist, transphobic, ableist, sexist, or otherwise prejudiced behaviour.', 'Do not harass people. Stalking, unconsented contact, or unwanted sexual attention is harassment.', 'Aggression and elitism are not welcome — nobody should be afraid to ask questions.', 'Data.coops Acceptable Usage Policy gælder for social.data.coop: https://git.data.coop/data.coop/dokumenter/src/branch/master/Acceptable%20Usage%20Policy.md']","{'Hate Speech': 1, 'Harassment': 1, 'A: Harassment': 1, 'Links & Outside Content': 1}","['Do not engage in homophobic, racist, transphobic, ableist, sexist, or otherwise prejudiced behaviour.', 'Do not harass people. Stalking, unconsented contact, or unwanted sexual attention is harassment.', 'Aggression and elitism are not welcome — nobody should be afraid to ask questions.', 'Data.coops Acceptable Usage Policy gælder for social.data.coop: https://git.data.coop/data.coop/dokumenter/src/branch/master/Acceptable%20Usage%20Policy.md']","{'Harassment': 2, 'Hate Speech': 1, 'Links & Outside Content': 1}","['Do not engage in homophobic, racist, transphobic, ableist, sexist, or otherwise prejudiced behaviour.', 'Do not harass people. Stalking, unconsented contact, or unwanted sexual attention is harassment.', 'Aggression and elitism are not welcome — nobody should be afraid to ask questions.', 'Data.coops Acceptable Usage Policy gælder for social.data.coop: https://git.data.coop/data.coop/dokumenter/src/branch/master/Acceptable%20Usage%20Policy.md']","{'Hate Speech': 1, 'Harassment': 1, 'A: Harassment': 1, 'Not Applicable': 1}"
social.growyourown.services,"['No racist, sexist, anti-LGBTQIA, ableist or other bigoted content', 'No illegal content or links to illegal content', 'No harassment, no bullying, no intimidation', 'No incitement to violence or threats of violence', 'No spam, advertising, sexually explicit or violent contents']","{'Hate Speech': 1, 'Illegal Content, Links & Outside Content': 1, 'Harassment': 1, 'Incitement of Violence': 1, 'A: Spam, Advertising & Commercialization, NSFW': 1}","['No racist, sexist, anti-LGBTQIA, ableist or other bigoted content', 'No illegal content or links to illegal content', 'No harassment, no bullying, no intimidation', 'No incitement to violence or threats of violence', 'No spam, advertising, sexually explicit or violent contents']","{'Hate Speech': 1, 'Illegal Content, Links & Outside Content': 1, 'Harassment': 1, 'Incitement of Violence': 1, 'A: Spam, Advertising & Commercialization, NSFW': 1}",[nan],{'A: Not Applicable': 1}
social.hyuki.net,['いつも喜び、たえず祈り、すべてに感謝しましょう。'],{'A: Not Applicable': 1},['いつも喜び、たえず祈り、すべてに感謝しましょう。'],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1}
social.krebsco.de,"[""don't suck""]",{'Not Applicable': 1},[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1}
social.lol,"['Don’t spread hate or negativity, especially based on people’s fundamental differences such as gender identity, sexual orientation, race, ethnicity, age, ability, and social class.', 'Don’t harass, troll, seek to offend, shitpost, or otherwise bother anyone.', 'Don’t lie, and don’t spread others’\xa0lies or misinformation.', 'Don’t run bots or anything that automates interactions with people.']","{'Hate Speech': 1, 'Harassment, Trolling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Automated tools': 1}","['Don’t spread hate or negativity, especially based on people’s fundamental differences such as gender identity, sexual orientation, race, ethnicity, age, ability, and social class.', 'Don’t harass, troll, seek to offend, shitpost, or otherwise bother anyone.', 'Don’t lie, and don’t spread others’\xa0lies or misinformation.', 'Don’t run bots or anything that automates interactions with people.']","{'Hate Speech': 1, 'Harassment, Trolling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Automated tools': 1}","['Don’t spread hate or negativity, especially based on people’s fundamental differences such as gender identity, sexual orientation, race, ethnicity, age, ability, and social class.', 'Don’t harass, troll, seek to offend, shitpost, or otherwise bother anyone.', 'Don’t lie, and don’t spread others’\xa0lies or misinformation.', 'Don’t run bots or anything that automates interactions with people.']","{'Hate Speech': 1, 'Harassment, Trolling': 1, 'Mis/Disinformation/Conspiracy': 1, 'Automated tools': 1}"
social.mikutter.hachune.net,"['えあい', 'みたらしだんご', 'kb10uy']","{'Not Applicable': 2, 'A: Not Applicable': 1}","['えあい', 'みたらしだんご', 'kb10uy']","{'Not Applicable': 2, 'A: Not Applicable': 1}","['えあい', 'みたらしだんご', 'kb10uy']","{'Not Applicable': 2, 'A: Not Applicable': 1}"
social.milktea.io,"['Be kind', 'Do not post content that is illegal', 'Do not reupload other people’s content (eg art) without their permission', 'Do use spoilers and content warnings as appropriate!']","{'Not Applicable': 1, 'Illegal Content': 1, 'Copyright/ Piracy': 1, 'Content Warnings': 1}","['Be kind', 'Do not post content that is illegal', 'Do not reupload other people’s content (eg art) without their permission', 'Do use spoilers and content warnings as appropriate!']","{'Not Applicable': 1, 'Illegal Content': 1, 'Copyright/Piracy': 1, 'Content Warnings': 1}",[nan],{'Not Applicable': 1}
social.oberhauser.space,"['Hate speech and acts of discrimination such as racism, sexism, homophobia, transphobia, xenophobia, or casteism will not be tolerated.', 'Do not intentionally share false or misleading information.', 'Do not send unsolicited DMs.', 'Sexually explicit or violent media must be marked as sensitive.', 'Do not share posts containing incitement of violence or promotion of violent ideologies.']","{'Hate Speech': 1, 'Mis/Disinformation/Conspiracy': 1, 'Harassment': 1, 'A: Images, Content Warnings': 1, 'Incitement of Violence': 1}",[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1}
social.opensource.org,"[""All posts carried by this server must abide by OSI's Code of Conduct at https://opensource.org/codeofconduct/"", 'Posts are carried at the absolute discretion of the OSI Executive Director who will remove any post that is considered against the code of conduct or is considered inappropriate and/or suspend access for any user and/or any server.']","{'Links & Outside Content': 1, 'Not Applicable': 1}","[""All posts carried by this server must abide by OSI's Code of Conduct at https://opensource.org/codeofconduct/"", 'Posts are carried at the absolute discretion of the OSI Executive Director who will remove any post that is considered against the code of conduct or is considered inappropriate and/or suspend access for any user and/or any server.']","{'Links & Outside Content': 1, 'Not Applicable': 1}","[""All posts carried by this server must abide by OSI's Code of Conduct at https://opensource.org/codeofconduct/"", 'Posts are carried at the absolute discretion of the OSI Executive Director who will remove any post that is considered against the code of conduct or is considered inappropriate and/or suspend access for any user and/or any server.']","{'Links & Outside Content': 1, 'Not Applicable': 1}"
social.restless.systems,"[""Hatred will not be tolerated. This includes, but isn't limited to racist language, degorgatory statements and more."", 'Remember the human. Try to keep it civil, although we understand things can get heated.', 'Harassing others will not be tolerated: no means no.', 'Server admins have final authority. Bans may be appealed, but ban evasion will lead to either IP blocks, or instance blocks as needed', 'Be kind to others ...', 'NSFW/R18 content must be marked as such', 'Cyrptocurrency/NFT scams and spam will not be tolerated']","{'Hate Speech': 1, 'A: Harassment': 1, 'Harassment': 1, 'Not Applicable': 1, 'A: Not Applicable': 1, 'NSFW, Content Warnings': 1, 'Spam, Mis/Disinformation/Conspiracy': 1}",[nan],{'A: Not Applicable': 1},[nan],{'A: Not Applicable': 1}
social.treehouse.systems,"['NSFW content (you know what this is) must be posted behind a content warning.  Anything else where a content warning makes reasonable sense should probably have one.', ""Respect people's boundaries, if you don't, you will be banned.  We have a zero-tolerance policy."", 'Doxing will not be tolerated.  Again, zero-tolerance policy and all that.', ""Office politics stay at the office.  Some of us don't want to talk about work all the time.""]","{'NSFW, Content Warnings': 1, 'A: Harassment': 1, 'Doxxing/Personal Info': 1, 'Off-topic/topic specific': 1}",[nan],{'Not Applicable': 1},[nan],{'Not Applicable': 1}
syringa.social,"['Be Kind', 'Sexually explicit or violent media must be marked as sensitive when posting.', 'No racism, sexism, homophobia, transphobia, xenophobia, casteism or fascism.', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users.', 'No illegal content.', 'This site is directed to people over 13 years old,  as required by COPPA.', ""Running this server is a labor of love, don't make me not love this.""]","{'Not Applicable': 2, 'A: Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/ Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'NSFW, Illegal Content': 1}","['Be Kind', 'Sexually explicit or violent media must be marked as sensitive when posting.', 'No racism, sexism, homophobia, transphobia, xenophobia, casteism or fascism.', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users.', 'No illegal content.', 'This site is directed to people over 13 years old,  as required by COPPA.', ""Running this server is a labor of love, don't make me not love this.""]","{'Not Applicable': 2, 'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1, 'NSFW': 1}","['Be Kind', 'Sexually explicit or violent media must be marked as sensitive when posting.', 'No racism, sexism, homophobia, transphobia, xenophobia, casteism or fascism.', 'No incitement of violence or promotion of violent ideologies.', 'No harassment, dogpiling or doxxing of other users.', 'No illegal content.', 'This site is directed to people over 13 years old,  as required by COPPA.', ""Running this server is a labor of love, don't make me not love this.""]","{'Not Applicable': 3, 'A: Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment, Dogpiling': 1, 'Illegal Content': 1}"
thejoyo.com,[nan],{'A: Not Applicable': 1},[nan],{'Not Applicable': 1},[nan],{'A: Not Applicable': 1}
tilde.zone,"['Sexually explicit or violent media must be marked as sensitive when posting', 'No fascism, racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment or doxxing of other users', 'No content illegal in Germany', 'Do not share intentionally false or misleading information', 'No cryptocurrencies or NFTs', 'You must be at least 13 years of age to register here']","{'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1, 'Advertising & Commercialization': 1, 'Not Applicable': 1}","['Sexually explicit or violent media must be marked as sensitive when posting', 'No fascism, racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment or doxxing of other users', 'No content illegal in Germany', 'Do not share intentionally false or misleading information', 'No cryptocurrencies or NFTs', 'You must be at least 13 years of age to register here']","{'Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1, 'Advertising & Commercialization': 1, 'Not Applicable': 1}","['Sexually explicit or violent media must be marked as sensitive when posting', 'No fascism, racism, sexism, homophobia, transphobia, xenophobia, or casteism', 'No incitement of violence or promotion of violent ideologies', 'No harassment or doxxing of other users', 'No content illegal in Germany', 'Do not share intentionally false or misleading information', 'No cryptocurrencies or NFTs', 'You must be at least 13 years of age to register here']","{'A: Images': 1, 'Hate Speech': 1, 'Incitement of Violence': 1, 'Doxxing/Personal Info, Harassment': 1, 'Illegal Content': 1, 'Mis/Disinformation/Conspiracy': 1, 'Off-topic/topic specific': 1, 'Not Applicable': 1}"
