,instance,rule,preprocessed rules,lang
629,mastouille.fr,Tout contenu NSFW doit être préalablement marqué sensible.,tout contenu nsfw doit être préalablement marqué sensible,non-Englsih
630,hessen.social,Sei immer freundlich und höflich. Behandle andere mit Respekt.,sei immer freundlich und höflich behandle andere mit respekt,non-Englsih
631,hessen.social,"Belästige und beleidige niemanden und unterlasse persönliche Angriffe.Weder allein noch als Gruppe. Das Veröffentlichen oder die Androhung von Veröffentlichung von personen-identifizierenden Informationen (""doxing"") wird als Belästigung ausgelegt.",belästige und beleidige niemanden und unterlasse persönliche angriffeweder allein noch als gruppe das veröffentlichen oder die androhung von veröffentlichung von personenidentifizierenden informationen doxing wird als belästigung ausgelegt,non-Englsih
632,hessen.social,"Kontaktiere keine Nutzer:innen die angegeben haben, dass sie nicht kontaktiert werden möchten.",kontaktiere keine nutzerinnen die angegeben haben dass sie nicht kontaktiert werden möchten,non-Englsih
633,hessen.social,"Die Nutzung oder Befürwortung von rassistischer, sexistischer, homophober, transphober, behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter Sprache wird nicht geduldet",die nutzung oder befürwortung von rassistischer sexistischer homophober transphober behindertenfeindlicher und anderweitig diskriminierender oder hasserfüllter sprache wird nicht geduldet,non-Englsih
634,hessen.social,"Verharmlosende oder gutheißende Inhalte zu Weißer Vorherrschaft, Antisemitismus, Transphobie oder anderen hasserfüllten Ideologien werden nicht geduldet.",verharmlosende oder gutheißende inhalte zu weißer vorherrschaft antisemitismus transphobie oder anderen hasserfüllten ideologien werden nicht geduldet,non-Englsih
635,hessen.social,"Nochmal ganz deutlich: Wir dulden keine nationalistische Propaganda, keine Nazi-Symbolik und keine Förderung der Ideologie des Nationalsozialismus!",nochmal ganz deutlich wir dulden keine nationalistische propaganda keine nazisymbolik und keine förderung der ideologie des nationalsozialismus,non-Englsih
636,hessen.social,Poste keine pornographischen oder sexualisierten Inhalte. Dazu gehören auch Witze und Kommentare.,poste keine pornographischen oder sexualisierten inhalte dazu gehören auch witze und kommentare,non-Englsih
637,hessen.social,Halte dich an die in Deutschland geltenden Gesetze (verbietet u.a. auch gewaltverherrlichende Inhalte).,halte dich an die in deutschland geltenden gesetze verbietet ua auch gewaltverherrlichende inhalte,non-Englsih
638,hessen.social,"Veröffentliche keinen Spam oder kommerzielle Werbung. Kommerzielle Werbung in diesem Zusammenhang bedeutet, wenn die veröffentlichten Inhalte keinen persönlichen Bezug aufweisen und eindeutig dazu gedacht sind, direkt oder indirekt Geld zu erwirtschaften.",veröffentliche keinen spam oder kommerzielle werbung kommerzielle werbung in diesem zusammenhang bedeutet wenn die veröffentlichten inhalte keinen persönlichen bezug aufweisen und eindeutig dazu gedacht sind direkt oder indirekt geld zu erwirtschaften,non-Englsih
639,hessen.social,"Nutze Inhaltswarnungen für Posts und NSFW-Marker bei Medien im Falle von kontroversen, aufrührerischen oder triggernden Themen",nutze inhaltswarnungen für posts und nsfwmarker bei medien im falle von kontroversen aufrührerischen oder triggernden themen,non-Englsih
640,hessen.social,"Keine Killerphrasen, Scheinargumente, schwarze Rhetorik oder Sophismus",keine killerphrasen scheinargumente schwarze rhetorik oder sophismus,non-Englsih
641,hessen.social,Diskutiere Moderationsentscheidungen nicht zuerst in öffentlichen Toots,diskutiere moderationsentscheidungen nicht zuerst in öffentlichen toots,non-Englsih
642,hessen.social,Nachgewiesene Falschinformationen/Fakenews (inkl. Verschwörungstheorien) sind hier unerwünscht,nachgewiesene falschinformationenfakenews inkl verschwörungstheorien sind hier unerwünscht,non-Englsih
643,thu.closed.social,请遵守相关法律法规，尊重他人，友善发言,请遵守相关法律法规尊重他人友善发言,non-Englsih
644,thu.closed.social,闭社禁止发布故意引战，虚假信息，歧视性言论。,闭社禁止发布故意引战虚假信息歧视性言论,non-Englsih
645,thu.closed.social,可能引起读者不适的内容应当以提示词条注明并隐藏。,可能引起读者不适的内容应当以提示词条注明并隐藏,non-Englsih
646,pol.social,"Na serwerze obowiązują ogólne zasady Netykiety ( https://pl.wikipedia.org/wiki/Netykieta )
Zwracamy się do siebie z szacunkiem.",na serwerze obowiązują ogólne zasady netykiety httpsplwikipediaorgwikinetykieta zwracamy się do siebie z szacunkiem,non-Englsih
647,pol.social,"Nie dopuszczamy poniższych rzeczy:
- Pornografii
- Przemocy seksualnej
- Homofobii, transfobi, ksenofobi
- Rasizmu, seksizmu
- Fake newsów
- Przemocy w każdej formie do innych użytkowników
- Treści niedozwolonych polskim prawem.",nie dopuszczamy poniższych rzeczy pornografii przemocy seksualnej homofobii transfobi ksenofobi rasizmu seksizmu fake newsów przemocy w każdej formie do innych użytkowników treści niedozwolonych polskim prawem,non-Englsih
648,mindly.social,"Be nice to everybody always. No hate speech, slurs, or directing negativity towards others (including targeted deadnaming and misgendering).",be nice to everybody always no hate speech slurs or directing negativity towards others including targeted deadnaming and misgendering,English
649,mindly.social,Stay tasteful and legal.,stay tasteful and legal,English
650,mindly.social,Use content warnings when appropriate for NFSW or sensitive topics/media.,use content warnings when appropriate for nfsw or sensitive topicsmedia,English
651,mindly.social,No companies/brands/corporations. (Individual self-promotion is allowed.),no companiesbrandscorporations individual selfpromotion is allowed,English
652,mindly.social,"English only. Due to the issues with moderating other languages, please stick to English posts/media on this server.",english only due to the issues with moderating other languages please stick to english postsmedia on this server,English
653,mindly.social,No users under 13 years of age.,no users under 13 years of age,English
654,mstdn.ca,No toxic and hateful speech.,no toxic and hateful speech,English
655,mstdn.ca,No incitement of violence and no promotion of misleading or violent ideologies.,no incitement of violence and no promotion of misleading or violent ideologies,English
656,mstdn.ca,"No harassment, dogpiling, or unwanted advances.",no harassment dogpiling or unwanted advances,English
657,mstdn.ca,No doxxing of other users.,no doxxing of other users,English
658,mstdn.ca,No content illegal in Canada or copyrighted content that you don't own rights to.,no content illegal in canada or copyrighted content that you dont own rights to,English
659,mstdn.ca,Sexually explicit or violent media must be marked appropriately.,sexually explicit or violent media must be marked appropriately,English
660,mstdn.ca,"No spamming.
Excessive posting, boosting, advertising or mass-marketing posts will be actioned accordingly and based on intent.",no spamming excessive posting boosting advertising or massmarketing posts will be actioned accordingly and based on intent,English
661,mstdn.ca,"Be yourself.
Accounts intended to impersonate or parody are not permitted, and those found to be directly misrepresenting themselves as another person or entity will be actioned accordingly.",be yourself accounts intended to impersonate or parody are not permitted and those found to be directly misrepresenting themselves as another person or entity will be actioned accordingly,English
662,mstdn.ca,Agree to the Terms of Service and Code of Conduct.,agree to the terms of service and code of conduct,English
663,ravenation.club,Treat others respectfully,treat others respectfully,English
664,ravenation.club,Use an appropriate tone,use an appropriate tone,non-Englsih
665,ravenation.club,Respect the privacy of others,respect the privacy of others,English
666,ravenation.club,Compliance with applicable law,compliance with applicable law,English
667,ravenation.club,Avoid misinformation,avoid misinformation,English
668,ravenation.club,No spam posts,no spam posts,non-Englsih
669,ravenation.club,Mark sensitive content (CW),mark sensitive content cw,English
670,ravenation.club,You must be older than 16 years,you must be older than 16 years,English
671,sueden.social,Sei kein Arschloch. Du hast eine Meinung? Das ist gut aber bitte beleidige niemanden bei deinen Äußerungen.,sei kein arschloch du hast eine meinung das ist gut aber bitte beleidige niemanden bei deinen äußerungen,non-Englsih
672,sueden.social,"Diskriminiere niemanden. Rassistische, sexistische, frauenfeindliche, homophobe, antisemitische und andere menschenfeindliche Beiträge sind bei uns verboten!",diskriminiere niemanden rassistische sexistische frauenfeindliche homophobe antisemitische und andere menschenfeindliche beiträge sind bei uns verboten,non-Englsih
673,sueden.social,Halte dich an Gesetze. Ganz einfach. Auch im Internet kann man angezeigt werden.,halte dich an gesetze ganz einfach auch im internet kann man angezeigt werden,non-Englsih
674,sueden.social,"Du bist für deine Privatsphäre verantwortlich. Wenn du nicht willst, dass etwas im Internet über dich steht, veröffentliche es nicht.",du bist für deine privatsphäre verantwortlich wenn du nicht willst dass etwas im internet über dich steht veröffentliche es nicht,non-Englsih
675,sueden.social,"Wir legen Wert auf eine gesunde Kommunikation untereinander. Falls du deinen Account nur benutzt um Links zu teilen und ohne Rücksicht Crossposter verwendest, oder für Referral-Link nutzt, werden wir Admins uns bei dir melden.",wir legen wert auf eine gesunde kommunikation untereinander falls du deinen account nur benutzt um links zu teilen und ohne rücksicht crossposter verwendest oder für referrallink nutzt werden wir admins uns bei dir melden,non-Englsih
676,sueden.social,"Falls du einen NSFW-Only Account erstellen möchtest, ziehe eventuell eine andere Instanz in Betracht. Wahrscheinlich sind wir leider nicht geeignet für dich.",falls du einen nsfwonly account erstellen möchtest ziehe eventuell eine andere instanz in betracht wahrscheinlich sind wir leider nicht geeignet für dich,non-Englsih
677,sueden.social,"Wir dulden keine Belästigung, einschließlich Brigading, Dogpiling oder jede andere Form der Kontaktaufnahme mit einem Nutzer, der angegeben hat, dass er nicht kontaktiert werden möchte.",wir dulden keine belästigung einschließlich brigading dogpiling oder jede andere form der kontaktaufnahme mit einem nutzer der angegeben hat dass er nicht kontaktiert werden möchte,non-Englsih
678,sueden.social,"
Wir dulden keine gewalttätige nationalistische Propaganda, keine Nazi-Symbolik und keine Förderung der Ideologie des Nationalsozialismus.
",wir dulden keine gewalttätige nationalistische propaganda keine nazisymbolik und keine förderung der ideologie des nationalsozialismus,non-Englsih
679,sueden.social,"Inhalte, die in Deutschland illegal sind, werden gelöscht und können zur sofortigen Sperrung des Kontos führen.",inhalte die in deutschland illegal sind werden gelöscht und können zur sofortigen sperrung des kontos führen,non-Englsih
680,sueden.social,"Mach dich nicht lustig über andere und sei nicht herablassend. Du möchtest auch mit Respekt behandelt werden. Beachte, dass sich Ironie, Sarkasmus oder ähnliche Ausdrucksformen nicht gut in die Schriftsprache übertragen lassen und dazu neigen, Diskussionen oder Missverständnisse zu eskalieren.",mach dich nicht lustig über andere und sei nicht herablassend du möchtest auch mit respekt behandelt werden beachte dass sich ironie sarkasmus oder ähnliche ausdrucksformen nicht gut in die schriftsprache übertragen lassen und dazu neigen diskussionen oder missverständnisse zu eskalieren,non-Englsih
681,sueden.social,"Automatisierte Beiträge sollten als ""Nicht gelistet"" gepostet werden (d. h. sie sind sichtbar, aber nicht in der lokalen Zeitleiste). Dies gilt auch für Bots, Feed-Poster, Twitter-""Retweets"" und Twitter-Crossposts. Crossposter-Konten, die sich nicht aktiv beteiligen, können von uns entfernt werden.",automatisierte beiträge sollten als nicht gelistet gepostet werden d h sie sind sichtbar aber nicht in der lokalen zeitleiste dies gilt auch für bots feedposter twitterretweets und twittercrossposts crossposterkonten die sich nicht aktiv beteiligen können von uns entfernt werden,non-Englsih
682,sueden.social,"Wir dulden keine Verschwörungstheorien, die das oben genannte (und/oder ähnliche) Verhalten unterstützen oder dazu führen.",wir dulden keine verschwörungstheorien die das oben genannte undoder ähnliche verhalten unterstützen oder dazu führen,non-Englsih
683,tkz.one,"Intenta mantener tu perfil y publicaciones mayormente en sintonía con la temática de la instancia: videojuegos, anime, manga, comics, series, cine, gastronomía, literatura, viajes y demás hobbies y temas relacionados.",intenta mantener tu perfil y publicaciones mayormente en sintonía con la temática de la instancia videojuegos anime manga comics series cine gastronomía literatura viajes y demás hobbies y temas relacionados,non-Englsih
684,tkz.one,"Sé amable y evita mal comportamiento, incluyendo racismo y discriminación de cualquier índole; las cuentas disruptivas podrían ser suspendidas. Trata a la gente como te gustaría que te tratasen.",sé amable y evita mal comportamiento incluyendo racismo y discriminación de cualquier índole las cuentas disruptivas podrían ser suspendidas trata a la gente como te gustaría que te tratasen,non-Englsih
685,tkz.one,"Habla principalmente en español, con opción de otros idiomas del territorio español; usa lenguaje inclusivo si lo deseas.",habla principalmente en español con opción de otros idiomas del territorio español usa lenguaje inclusivo si lo deseas,non-Englsih
686,tkz.one,No compartas pornografía infantil ni violencia; evita contenido ilegal bajo leyes españolas.,no compartas pornografía infantil ni violencia evita contenido ilegal bajo leyes españolas,non-Englsih
687,tkz.one,Eres responsable de tus comentarios y publicaciones.,eres responsable de tus comentarios y publicaciones,non-Englsih
688,tkz.one,"Evita promover activismo y política institucional siempre que sea posible. Se permiten temas políticos cuando están contextualizados y relacionados con la temática de la instancia. La promoción de nazismo, supremacía e ideologías ultra están estrictamente prohibidas.",evita promover activismo y política institucional siempre que sea posible se permiten temas políticos cuando están contextualizados y relacionados con la temática de la instancia la promoción de nazismo supremacía e ideologías ultra están estrictamente prohibidas,non-Englsih
689,tkz.one,"No compartas información falsa intencionalmente. En caso de hacerlo, retira cualquier bulo compartido si se verifica como tal.",no compartas información falsa intencionalmente en caso de hacerlo retira cualquier bulo compartido si se verifica como tal,non-Englsih
690,tkz.one,"El contenido de adultos salvo la pornografía explícita, está permitido solo como forma de arte con la etiqueta CW, si es de tu autoría y se relaciona con la temática.",el contenido de adultos salvo la pornografía explícita está permitido solo como forma de arte con la etiqueta cw si es de tu autoría y se relaciona con la temática,non-Englsih
691,tkz.one,Prohibido las cuentas centradas en el crossposting. Las cuentas que abusen de esta práctica pueden ser suspendidas.,prohibido las cuentas centradas en el crossposting las cuentas que abusen de esta práctica pueden ser suspendidas,non-Englsih
692,tkz.one,"Las cuentas que promocionen SPAM, phishing o criptoactivos están prohibidas. ",las cuentas que promocionen spam phishing o criptoactivos están prohibidas,non-Englsih
693,tkz.one,"El uso de IA para generar contenido es permitido si no se dedica a la promoción de dicho contenido. Las cuentas que promuevan activamente contenido generado por IA, tanto en el servidor como en sitios externos, serán prohibidas y pueden ser advertidas o canceladas por el equipo de moderación.",el uso de ia para generar contenido es permitido si no se dedica a la promoción de dicho contenido las cuentas que promuevan activamente contenido generado por ia tanto en el servidor como en sitios externos serán prohibidas y pueden ser advertidas o canceladas por el equipo de moderación,non-Englsih
694,mastodon.com.tr,"Cinsellik, şiddet veya halka açık ortamlarda istemsiz şekilde görünmesi sorun yaratabilecek içerik içeren fotoğraf ve videolar içerik uyarısı ile yayınlanmalıdır. Bu kuralı uygularken sunucu yöneticileri sağduyularını kullanacaktır, lütfen siz de içeriğinizi yayınlamadan önce sağduyunuzu kullanın.",cinsellik şiddet veya halka açık ortamlarda istemsiz şekilde görünmesi sorun yaratabilecek içerik içeren fotoğraf ve videolar içerik uyarısı ile yayınlanmalıdır bu kuralı uygularken sunucu yöneticileri sağduyularını kullanacaktır lütfen siz de içeriğinizi yayınlamadan önce sağduyunuzu kullanın,non-Englsih
695,mastodon.com.tr,"Irkçılık, cinsiyetçilik, homofobi, transofobi ve zenofobi yasaktır",irkçılık cinsiyetçilik homofobi transofobi ve zenofobi yasaktır,non-Englsih
696,mastodon.com.tr,Şiddete kışkırtma veya şiddet güzellemeleri yayınlamak yasaktır,şiddete kışkırtma veya şiddet güzellemeleri yayınlamak yasaktır,non-Englsih
697,mastodon.com.tr,"Taciz, linçleme, kimlik ifşa etme (doxxing) yasaktır",taciz linçleme kimlik ifşa etme doxxing yasaktır,non-Englsih
698,mastodon.com.tr,Türkiye Cumhuriyeti ve/veya Fransa Cumhuriyeti yasalarına aykırı içerik paylaşımı yasaktır,türkiye cumhuriyeti veveya fransa cumhuriyeti yasalarına aykırı içerik paylaşımı yasaktır,non-Englsih
699,mastodon.com.tr,"Bir ya da birden fazla kullanıcıya, ticari reklam, propaganda, oltalama vb. amaçlar güden, bir ya da birden fazla sayıda ileti gönderimi — kısacası spam ileti gönderimi yasaktır. Münferit durumlar için bu kuralın yorumlanma hakkı tamamıyla sunucu yöneticilerine aittir.",bir ya da birden fazla kullanıcıya ticari reklam propaganda oltalama vb amaçlar güden bir ya da birden fazla sayıda ileti gönderimi kısacası spam ileti gönderimi yasaktır münferit durumlar için bu kuralın yorumlanma hakkı tamamıyla sunucu yöneticilerine aittir,non-Englsih
700,h4.io,"Soyez respectueux, civils et accueillants.",soyez respectueux civils et accueillants,non-Englsih
701,h4.io,Votre contenu doit être en français pour préserver une cohérence des fils et faciliter la modération.,votre contenu doit être en français pour préserver une cohérence des fils et faciliter la modération,non-Englsih
702,h4.io,"Nous n'autorisons pas le cross-postage (se référer à la page ""À propos"" pour plus d'explication).",nous nautorisons pas le crosspostage se référer à la page à propos pour plus dexplication,non-Englsih
703,h4.io,Ne rejoignez pas h4 simplement pour promouvoir un contenu en le spammant.,ne rejoignez pas h4 simplement pour promouvoir un contenu en le spammant,non-Englsih
704,h4.io,La désinformation vérifiable est proscrite.,la désinformation vérifiable est proscrite,non-Englsih
705,h4.io,"Les propos illégaux (racistes, homophobes, transphobes, sexistes) sont proscrits.",les propos illégaux racistes homophobes transphobes sexistes sont proscrits,non-Englsih
706,h4.io,"Les propos discriminants, incitants à la violence ou contribuant au harcèlement sont proscrits.",les propos discriminants incitants à la violence ou contribuant au harcèlement sont proscrits,non-Englsih
707,h4.io,"Les tentatives de retournement d'oppressions systémiques (""racisme anti-blanc, sexisme anti-homme, hétérophobie, cisphobie, etc) sont proscrites.",les tentatives de retournement doppressions systémiques racisme antiblanc sexisme antihomme hétérophobie cisphobie etc sont proscrites,non-Englsih
708,h4.io,Les contenus répréhensibles par la loi française sont proscrits.,les contenus répréhensibles par la loi française sont proscrits,non-Englsih
709,h4.io,Les contenus pornographiques ne sont pas autorisés sur la plateforme puisque nous n'avons pas la capacité d'en assurer la provenance éthique et légale.,les contenus pornographiques ne sont pas autorisés sur la plateforme puisque nous navons pas la capacité den assurer la provenance éthique et légale,non-Englsih
710,h4.io,Les contenus érotiques (ou explicites et personnel) sont autorisés mais doivent avoir un avertissement de contenu pour ne pas les imposer à la communauté.,les contenus érotiques ou explicites et personnel sont autorisés mais doivent avoir un avertissement de contenu pour ne pas les imposer à la communauté,non-Englsih
711,det.social,"Keine Beleidigungen, Drohungen und Verunglimpfungen aller Art",keine beleidigungen drohungen und verunglimpfungen aller art,non-Englsih
712,det.social,Keine Aufforderungen zu Gewalt,keine aufforderungen zu gewalt,non-Englsih
713,det.social,"Kein radikales Gedankengut, Rassismus und Hasspropaganda",kein radikales gedankengut rassismus und hasspropaganda,non-Englsih
714,det.social,Keine Pornografie und Obszönitäten,keine pornografie und obszönitäten,non-Englsih
715,det.social,Keine Verletzungen von Rechten Dritter,keine verletzungen von rechten dritter,non-Englsih
716,det.social,"Keine Veröffentlichung von privaten Korrespondenzen und privaten Daten (Anschriften, E-Mail-Adressen oder Telefonnummern)",keine veröffentlichung von privaten korrespondenzen und privaten daten anschriften emailadressen oder telefonnummern,non-Englsih
717,det.social,Kein Missbrauch der Kommentarfunktion für werbliche Zwecke,kein missbrauch der kommentarfunktion für werbliche zwecke,non-Englsih
718,det.social,Nur deutsch- oder englischsprachige Accounts erlaubt. Bei anderen Sprachen können wir die Moderation nicht gewährleisten.,nur deutsch oder englischsprachige accounts erlaubt bei anderen sprachen können wir die moderation nicht gewährleisten,non-Englsih
732,piaille.fr,"Conformément aux lois françaises et à la jurisprudence, les contenus pédopornographiques, y compris sous forme dessinée, sont illégaux et seront supprimés, et les comptes concernés bloqués (si distants) ou supprimés (si local).",conformément aux lois françaises et à la jurisprudence les contenus pédopornographiques y compris sous forme dessinée sont illégaux et seront supprimés et les comptes concernés bloqués si distants ou supprimés si local,non-Englsih
733,piaille.fr,"La nudité, les contenus érotiques, pornographiques ou visiblement violents doivent être marqués avec le drapeau ""sensible / sensitive"". Les comptes ne respectant pas cette règle seront supprimés
",la nudité les contenus érotiques pornographiques ou visiblement violents doivent être marqués avec le drapeau sensible sensitive les comptes ne respectant pas cette règle seront supprimés,non-Englsih
734,piaille.fr,"La publicité, sous forme répétée et/ou intrusive (faisant mention d'autres utilisateur·ices), n'est pas acceptée. Les comptes concernés seront rendus invisibles aux flux locaux et fédérés, ou supprimés, selon la gravité de la situation.",la publicité sous forme répétée etou intrusive faisant mention dautres utilisateurices nest pas acceptée les comptes concernés seront rendus invisibles aux flux locaux et fédérés ou supprimés selon la gravité de la situation,non-Englsih
735,piaille.fr,"Approchez les personnes avec précaution et politesse. Si une personne vous demande d'arrêter de la mentionner ou qu'elle exprime ne plus vouloir participer à une discussion, arrêtez immédiatement.",approchez les personnes avec précaution et politesse si une personne vous demande darrêter de la mentionner ou quelle exprime ne plus vouloir participer à une discussion arrêtez immédiatement,non-Englsih
736,piaille.fr,"Sont interdits les propos, images ou vidéos racistes, sexistes, homophobes, psychophobes ou transphobes.
",sont interdits les propos images ou vidéos racistes sexistes homophobes psychophobes ou transphobes,non-Englsih
737,piaille.fr,"Sont interdits les avances ou propositions à caractères sexuels non-sollicitées.
",sont interdits les avances ou propositions à caractères sexuels nonsollicitées,non-Englsih
738,piaille.fr,"Sont interdit toute conduite, en public ou en privé, ayant pour but de traquer, harceler ou intimider d'autres personnes.
",sont interdit toute conduite en public ou en privé ayant pour but de traquer harceler ou intimider dautres personnes,non-Englsih
739,piaille.fr,"Il est interdit de rassembler, publier, disséminer les informations personnelles d'une autre personne sans son autorisation explicite.
",il est interdit de rassembler publier disséminer les informations personnelles dune autre personne sans son autorisation explicite,non-Englsih
740,piaille.fr,"Il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction. Cela peut être considéré comme du harcèlement, indépendamment de la confidentialité employée.
",il est interdit de poursuivre une conversation ou inciter une personne à poursuivre une interaction avec une personne ayant réclamé la cessation de ladite interaction cela peut être considéré comme du harcèlement indépendamment de la confidentialité employée,non-Englsih
741,piaille.fr,"Est interdit toute tentative de retournement d’une oppression systémique. Par exemple : « racisme anti-blanc », « sexisme anti-homme », « hétérophobie », « cisphobie ».
",est interdit toute tentative de retournement dune oppression systémique par exemple racisme antiblanc sexisme antihomme hétérophobie cisphobie,non-Englsih
742,piaille.fr,"Il est interdit de publier ou diffuser intentionnellement des propos diffamatoires, calomnieux, ainsi que toute désinformation avec intention de tromper (le gorafi ou the onion sont donc autorisés). Les profils satiriques doivent être indiqués comme tels dans leur nom et description publique.
",il est interdit de publier ou diffuser intentionnellement des propos diffamatoires calomnieux ainsi que toute désinformation avec intention de tromper le gorafi ou the onion sont donc autorisés les profils satiriques doivent être indiqués comme tels dans leur nom et description publique,non-Englsih
743,toot.community,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English
744,toot.community,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism.",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
745,toot.community,No incitement of violence or promotion of violent ideologies.,no incitement of violence or promotion of violent ideologies,English
746,toot.community,"No harassment, dogpiling or doxxing of other users.",no harassment dogpiling or doxxing of other users,English
747,toot.community,No content illegal in The Netherlands.,no content illegal in the netherlands,English
748,toot.community,Do not share intentionally false or misleading information.,do not share intentionally false or misleading information,English
749,toot.community,"Add a Content Warning (CW) to any toots that may hurt or trigger people like religion, gore, spoilers, or sensitive topics.",add a content warning cw to any toots that may hurt or trigger people like religion gore spoilers or sensitive topics,English
750,mastodonapp.uk,Sexually explicit or violent media must be marked as sensitive & content warned when posting,sexually explicit or violent media must be marked as sensitive content warned when posting,English
751,mastodonapp.uk,"Be respectful. Racism, sexism, homophobia, transphobia (including targeted misgendering, deadnaming, or promotion of so-called ""conversion therapy""), xenophobia, and other forms of hate and discrimination are not welcome. Your behaviour elsewhere may also be considered if brought to our attention. ",be respectful racism sexism homophobia transphobia including targeted misgendering deadnaming or promotion of socalled conversion therapy xenophobia and other forms of hate and discrimination are not welcome your behaviour elsewhere may also be considered if brought to our attention,English
752,mastodonapp.uk,No incitement of violence or promotion of discriminatory or violent ideologies,no incitement of violence or promotion of discriminatory or violent ideologies,English
753,mastodonapp.uk,"No spam, harrassment, dogpiling or doxxing of other users, this includes mass and spam reporting",no spam harrassment dogpiling or doxxing of other users this includes mass and spam reporting,English
754,mastodonapp.uk,No content illegal in The United Kingdom,no content illegal in the united kingdom,English
755,mastodonapp.uk,"No intentionally false or misleading information. By extension, do not pose as persons of interest. ",no intentionally false or misleading information by extension do not pose as persons of interest,English
756,mastodonapp.uk,"Controversial, reactionary, NSFW, and satirical or similar content may be removed if not obviously Content Warned where appropriate.",controversial reactionary nsfw and satirical or similar content may be removed if not obviously content warned where appropriate,English
757,mastodonapp.uk,"No promotion of gambling, Crypto, NFTs, anti-vaccination, self-harm, terrorism, illegal activities, Abuse/exploitation, or Violence.",no promotion of gambling crypto nfts antivaccination selfharm terrorism illegal activities abuseexploitation or violence,English
758,mastodonapp.uk,The sites staff team will ultimately have the final say on any and all moderation actions.,the sites staff team will ultimately have the final say on any and all moderation actions,English
759,universeodon.com,Sexually explicit or violent media must be marked as sensitive & content warned when posting,sexually explicit or violent media must be marked as sensitive content warned when posting,English
760,universeodon.com,"Be respectful. Racism, sexism, homophobia, transphobia (including targeted misgendering, deadnaming, or promotion of so-called ""conversion therapy""), xenophobia, and other forms of hate and discrimination are not welcome. Your behaviour elsewhere may also be considered if brought to our attention. ",be respectful racism sexism homophobia transphobia including targeted misgendering deadnaming or promotion of socalled conversion therapy xenophobia and other forms of hate and discrimination are not welcome your behaviour elsewhere may also be considered if brought to our attention,English
761,universeodon.com,No incitement of violence or promotion of discriminatory or violent ideologies,no incitement of violence or promotion of discriminatory or violent ideologies,English
762,universeodon.com,"No spam, harrassment, dogpiling or doxxing of other users, this includes mass and spam reporting",no spam harrassment dogpiling or doxxing of other users this includes mass and spam reporting,English
763,universeodon.com,No content illegal in The United Kingdom,no content illegal in the united kingdom,English
764,universeodon.com,"No intentionally false or misleading information. By extension, do not pose as persons of interest. ",no intentionally false or misleading information by extension do not pose as persons of interest,English
765,universeodon.com,"Controversial, reactionary, NSFW, and satirical or similar content may be removed if not obviously Content Warned where appropriate.",controversial reactionary nsfw and satirical or similar content may be removed if not obviously content warned where appropriate,English
766,universeodon.com,"No promotion of gambling, Crypto, NFTs, anti-vaccination, self-harm, terrorism, illegal activities, Abuse/exploitation, or Violence.",no promotion of gambling crypto nfts antivaccination selfharm terrorism illegal activities abuseexploitation or violence,English
767,universeodon.com,The sites staff team will ultimately have the final say on any and all moderation actions.,the sites staff team will ultimately have the final say on any and all moderation actions,English
768,urbanists.social,Please don't post anything that's illegal in the US or EU.,please dont post anything thats illegal in the us or eu,English
769,urbanists.social,"No racism, sexism, homophobia, transphobia, xenophobia, or any other form of discrimination.",no racism sexism homophobia transphobia xenophobia or any other form of discrimination,English
770,urbanists.social,"Punch Nazis, trebuchet TERFs. Any posts or usage containing nazi symbolism or ideology, or which contains ""gender critical"" / ""just asking questions"" shit will get you banned immediately and without recourse.",punch nazis trebuchet terfs any posts or usage containing nazi symbolism or ideology or which contains gender critical just asking questions shit will get you banned immediately and without recourse,English
771,urbanists.social,No promotion of crypto or NFTs. ,no promotion of crypto or nfts,English
772,urbanists.social,"NSFW content must be behind a content warning / marked as sensitive. Your profile (avatar, header, display name, etc.) must be SFW.",nsfw content must be behind a content warning marked as sensitive your profile avatar header display name etc must be sfw,English
773,urbanists.social,Don't abuse the instance or use it to abuse other federated instances. Don't try to break things.,dont abuse the instance or use it to abuse other federated instances dont try to break things,English
774,urbanists.social,Be considerate. Keep in mind that any public post you make will appear in our public timeline and the public timelines of other instances federated with Urbanists.Social. Use content warnings where appropriate. Use NSWF tags where appropriate. Don't be a jerk about it.,be considerate keep in mind that any public post you make will appear in our public timeline and the public timelines of other instances federated with urbanistssocial use content warnings where appropriate use nswf tags where appropriate dont be a jerk about it,English
775,urbanists.social,"Bots are allowed, but don't make them annoying. Admins will ask you to move your bot to another instance if it becomes a problem.",bots are allowed but dont make them annoying admins will ask you to move your bot to another instance if it becomes a problem,English
776,urbanists.social,Do not harass other users.,do not harass other users,English
777,dju.social,"Keine Inhalte, die in Deutschland illegal sind.",keine inhalte die in deutschland illegal sind,non-Englsih
778,dju.social, Sexuell eindeutige oder gewalttätige Medien müssen bei der Veröffentlichung als sensibel gekennzeichnet werden.,sexuell eindeutige oder gewalttätige medien müssen bei der veröffentlichung als sensibel gekennzeichnet werden,non-Englsih
