,formatted_rules,cleaned_rules,lang
705,Treat others as you would like others to treat you,treat others as you would like others to treat you,English
706,Sexually explicit or violent media must be marked as sensitive when posting.,sexually explicit or violent media must be marked as sensitive when posting,English
707,No spam or advertising.,no spam or advertising,non-Englsih
708,"No harassment, dogpiling or doxxing of other users.
",no harassment dogpiling or doxxing of other users,English
709,No illegal content.,no illegal content,non-Englsih
710,"No spreading of fake news or misinformation
",no spreading of fake news or misinformation,English
711,"no illegal stuff. 
UK law applies, use your common sense, server logs will be handed over if required.",no illegal stuff uk law applies use your common sense server logs will be handed over if required,English
712,be nice. pretty please. with sugar on top.,be nice pretty please with sugar on top,English
713,"no spam, no commercials, no adverts.",no spam no commercials no adverts,non-Englsih
714,"if this thing generates hassle, work or costs, it'll be evicted.",if this thing generates hassle work or costs itll be evicted,English
715,われらは、全世界の国民が、ひとしく恐怖と欠乏から免かれ、平和のうちに生存する権利を有することを確認する。,われらは全世界の国民がひとしく恐怖と欠乏から免かれ平和のうちに生存する権利を有することを確認する,non-Englsih
716,Heb respect voor elkaar,heb respect voor elkaar,non-Englsih
717,"Geen links of referenties naar racistische, hatelijke of offensieve content",geen links of referenties naar racistische hatelijke of offensieve content,non-Englsih
718,Geen accounts en toots die nodeloos ongefundeerd zijn,geen accounts en toots die nodeloos ongefundeerd zijn,non-Englsih
719,Geen zaken die in Nederland illegaal zijn,geen zaken die in nederland illegaal zijn,non-Englsih
720,Geen reclame en spam,geen reclame en spam,non-Englsih
721,"This is a development server for personal purpose.
It could be unavailable, running a custom fork of mastodon, or shut down at any moment.",this is a development server for personal purpose it could be unavailable running a custom fork of mastodon or shut down at any moment,English
722,Respect du droit français et européen ,respect du droit français et européen,non-Englsih
723,Respect des personnes et des idées ,respect des personnes et des idées,non-Englsih
724,"Laïques, baysiens et constructivistes sont les bienvenus ",laïques baysiens et constructivistes sont les bienvenus,non-Englsih
725,"The first rule is that if you're using this server, you should be me, Dan Hon.",the first rule is that if youre using this server you should be me dan hon,English
726,"During registration you have to pick a username. This username can't be changed later, so make sure it is the right one. If you are in doubt if your username is suitable, read our rules below first.",during registration you have to pick a username this username cant be changed later so make sure it is the right one if you are in doubt if your username is suitable read our rules below first,English
727,"After you sign up, you have to verify your email address. Check your spam folder if you didn't receive a verification email.",after you sign up you have to verify your email address check your spam folder if you didnt receive a verification email,English
728,We have to adhere to German and European law. Leading for us however is the Universal Declaration of Human Rights.,we have to adhere to german and european law leading for us however is the universal declaration of human rights,English
729,"You are personally fully responsible and accountable for what you publish on toot.poedelwitz.de. Without any exception, whether you use a pseudonym/alias or not.",you are personally fully responsible and accountable for what you publish on tootpoedelwitzde without any exception whether you use a pseudonymalias or not,English
730,"In other words: we from toot.poedelwitz.de, and the Mastodon Project in general are completely not responsible and accountable for what you publish, in any form whatsoever.",in other words we from tootpoedelwitzde and the mastodon project in general are completely not responsible and accountable for what you publish in any form whatsoever,English
731,"We do not accept (among other things): racism (in all its forms, incl. e.g. islamophobia, antisemitism, apartheid and casteism], homophobia, biphobia and such, transphobia, nbphobia and such, sexism and misogyny, fat-shaming, ableism and other forms of discrimination not mentioned here.",we do not accept among other things racism in all its forms incl eg islamophobia antisemitism apartheid and casteism homophobia biphobia and such transphobia nbphobia and such sexism and misogyny fatshaming ableism and other forms of discrimination not mentioned here,English
732,"We do not accept trolling, hate speech, (sexual) abuse of minors, adults and animals (also not virtual).",we do not accept trolling hate speech sexual abuse of minors adults and animals also not virtual,English
733,"We do not accept glorification of violence, calls for murder, death threats and terrorism, militarism, nationalism (We don't accept any form of nationalism of nation states. Regional nationalism is allowed, only without feeling superior than, or discriminating against others.).",we do not accept glorification of violence calls for murder death threats and terrorism militarism nationalism we dont accept any form of nationalism of nation states regional nationalism is allowed only without feeling superior than or discriminating against others,English
734,"We do not accept colonialism and imperialism in all its forms (incl. zionism), right-wing populism, and right-wing and religious extremism, evangelisation and other forms of religious propaganda [local only],
extreme sects and cults.",we do not accept colonialism and imperialism in all its forms incl zionism rightwing populism and rightwing and religious extremism evangelisation and other forms of religious propaganda local only extreme sects and cults,English
735,"We do not accept marxist-leninists, stalinists, maoists or other followers of extreme authoritarian (so called) communist/socialist ideologies/regimes (aka tankies), capitalists, including so called 'anarcho-capitalists' (ancaps).",we do not accept marxistleninists stalinists maoists or other followers of extreme authoritarian so called communistsocialist ideologiesregimes aka tankies capitalists including so called anarchocapitalists ancaps,English
736,"We do not accept anthropogenic climate change denial, COVID-19 denial, anti-vaccination, (right-wing) conspiracy 'theories' and hoaxes.",we do not accept anthropogenic climate change denial covid19 denial antivaccination rightwing conspiracy theories and hoaxes,English
737,"We do not accept spam and other forms of advertisement. If you publish continuously a very high number of public toots (excl. replies) in a short time (e. g. more than 1 toot every minute over a longer period of time), we might consider that as spamming.",we do not accept spam and other forms of advertisement if you publish continuously a very high number of public toots excl replies in a short time e g more than 1 toot every minute over a longer period of time we might consider that as spamming,English
738,We always keep the right to limit or delete your account. We are fortunately very tolerant and therefore we will always think twice before we take these actions.,we always keep the right to limit or delete your account we are fortunately very tolerant and therefore we will always think twice before we take these actions,English
739,Please use the report tool if you think someone on this server or another server did not comply with our guidelines. Note that sometimes rules are only valid for local users.,please use the report tool if you think someone on this server or another server did not comply with our guidelines note that sometimes rules are only valid for local users,English
740,"Mikrobloggen følger Mastodon Server Convenant som krever at vi skal slå ned på rasisme,  seksuell trakassering, homofobi og transfobi. Poster du ting som kan oppleves som forstyrrende for andre, (nakenhet, vold, m.m) bruk innholdsadvarsel for tekst og bilde. Ikke post noe som bryter norsk lov. ",mikrobloggen følger mastodon server convenant som krever at vi skal slå ned på rasisme seksuell trakassering homofobi og transfobi poster du ting som kan oppleves som forstyrrende for andre nakenhet vold mm bruk innholdsadvarsel for tekst og bilde ikke post noe som bryter norsk lov,non-Englsih
741,Brudd på regel nummer 1 medfører automatisk sletting av innlegg og skriftlig advarsel. Gjentatte brudd vil bli tatt opp i driftsrådet og kan i ytterste konsekvens medføre utestengning uten tilbakebetaling av medlemsskap. ,brudd på regel nummer 1 medfører automatisk sletting av innlegg og skriftlig advarsel gjentatte brudd vil bli tatt opp i driftsrådet og kan i ytterste konsekvens medføre utestengning uten tilbakebetaling av medlemsskap,non-Englsih
742,Mikrobloggen har et driftsråd som er ansvarlige for å vedlikeholde reglene og diskutere eventuelle sanksjoner mot brukere som har brutt reglene flere ganger. Ingen enkeltstående vaktmester kan utestenge en bruker uten at det har vært diskutert i rådet.,mikrobloggen har et driftsråd som er ansvarlige for å vedlikeholde reglene og diskutere eventuelle sanksjoner mot brukere som har brutt reglene flere ganger ingen enkeltstående vaktmester kan utestenge en bruker uten at det har vært diskutert i rådet,non-Englsih
743,Alle brukere på Mikrobloggen forplikter seg til å betale et årlig medlemsskap til Topdogs Sosietetsforening for å dekke sin del hosting-kostnaden. Medlemsskapsavgiften er satt til kr. 200. Brukere som ikke betaler blir automatisk utestengt 14 dager etter forfall.,alle brukere på mikrobloggen forplikter seg til å betale et årlig medlemsskap til topdogs sosietetsforening for å dekke sin del hostingkostnaden medlemsskapsavgiften er satt til kr 200 brukere som ikke betaler blir automatisk utestengt 14 dager etter forfall,non-Englsih
744,Don't be a dick,dont be a dick,English
745,,,Error
746,,,Error
747,"no hate speech or violent discrimination, including but not limited to: racism, sexism, homophobia, transphobia, ableism.",no hate speech or violent discrimination including but not limited to racism sexism homophobia transphobia ableism,English
748,"no harassment, spamming, and other repeated or organized unwanted interactions, especially against remote instances.",no harassment spamming and other repeated or organized unwanted interactions especially against remote instances,English
749,no content illegal under French or European law.,no content illegal under french or european law,English
750,"use content warnings for things that people might find objectionable, including, but not limited to: sexual content, violence and gore, flickering animations (subject to change i guess? idk)",use content warnings for things that people might find objectionable including but not limited to sexual content violence and gore flickering animations subject to change i guess idk,English
751,be me; if you're not me and you're on this instance you will be banned 😤😤😤,be me if youre not me and youre on this instance you will be banned,English
752,"Minä olen sinut nimeltä kutsunut (Jes. 43:1). Älä ole anonyymi, käytä sellaista nimeä, josta sinut tunnetaan. ",minä olen sinut nimeltä kutsunut jes 431 älä ole anonyymi käytä sellaista nimeä josta sinut tunnetaan,non-Englsih
753,"Rakasta lähimmäistäsi niin kuin itseäsi (Matt. 22:39). Mastodon on turvallinen tila. Ei syrjivää, väheksyvää, rasistista tai seksististä kielenkäyttöä tai argumentointia.  ",rakasta lähimmäistäsi niin kuin itseäsi matt 2239 mastodon on turvallinen tila ei syrjivää väheksyvää rasistista tai seksististä kielenkäyttöä tai argumentointia,non-Englsih
754,"Kunnioittakaa kilvan toinen toistanne (Room 12:10). Keskustellaan kunnioittavasti. Älä koskaan kyseenalaista esimerkiksi toisen olemusta, seksuaalisuutta, persoonaa tai elämänvalintoja. 
",kunnioittakaa kilvan toinen toistanne room 1210 keskustellaan kunnioittavasti älä koskaan kyseenalaista esimerkiksi toisen olemusta seksuaalisuutta persoonaa tai elämänvalintoja,non-Englsih
755,"Iloitkaa ja riemuitkaa, laulakaa ja soittakaa! (Ps. 98:4)",iloitkaa ja riemuitkaa laulakaa ja soittakaa ps 984,non-Englsih
756,"Respect other members: We do not tolerate any form of harassment, discrimination, insults, or profanity.",respect other members we do not tolerate any form of harassment discrimination insults or profanity,English
757,"No inappropriate content: Violent, pornographic, or otherwise offensive content is not allowed.
",no inappropriate content violent pornographic or otherwise offensive content is not allowed,English
758,"No spam: Unapproved promotional posts or any other form of spam will be removed.
",no spam unapproved promotional posts or any other form of spam will be removed,English
759,"Stay on topic: This server is dedicated to indie and AAA video games, so try to keep conversations relevant to these topics.",stay on topic this server is dedicated to indie and aaa video games so try to keep conversations relevant to these topics,English
760,Respect privacy: Do not share personal information without the consent of those involved.,respect privacy do not share personal information without the consent of those involved,English
761,"Dredgelords is a fun clan for GRSM, furry, & ally gamers. We transcend stereotypes, and do not gatekeep people's identities.
Be curious, not cynical.",dredgelords is a fun clan for grsm furry ally gamers we transcend stereotypes and do not gatekeep peoples identities be curious not cynical,English
762,"No discrimination based on race, gender, sexuality, nationality, or age. If you are offended by equality this is not your server.  Those not signing the tolerance treaty are not tolerated.",no discrimination based on race gender sexuality nationality or age if you are offended by equality this is not your server those not signing the tolerance treaty are not tolerated,English
763,"Content warnings are to be used for distressing, hurtful, depressing or triggering content.  They have other uses too, but those are the required cases.",content warnings are to be used for distressing hurtful depressing or triggering content they have other uses too but those are the required cases,English
764,"Use sarcasm, rudeness, or hostile jokes only with people you are already close to and know they are cool with it.",use sarcasm rudeness or hostile jokes only with people you are already close to and know they are cool with it,English
765,Visit your account settings and set them correctly. Please make regular backups of your account if you value its contents. ,visit your account settings and set them correctly please make regular backups of your account if you value its contents,English
766,Obey USA copyright law.  This server is based in the USA and subject to legal authority therin.,obey usa copyright law this server is based in the usa and subject to legal authority therin,English
767,"No rules lawyering.  Rules are subject to moderator interpretation. You shall be in the spirit of compassion and acceptance, not the letter of it. ",no rules lawyering rules are subject to moderator interpretation you shall be in the spirit of compassion and acceptance not the letter of it,English
768,No hate.,no hate,non-Englsih
769,No harassment.,no harassment,non-Englsih
770,No violence.,no violence,non-Englsih
771,No fascism.,no fascism,non-Englsih
772,No colonialism.,no colonialism,non-Englsih
773,No white supremacy.,no white supremacy,English
774,No religious extremism.,no religious extremism,non-Englsih
775,No nationalism.,no nationalism,non-Englsih
776,No racism.,no racism,non-Englsih
777,No homophobia.,no homophobia,non-Englsih
778,No transphobia.,no transphobia,non-Englsih
779,No conspiracy theories.,no conspiracy theories,English
780,No hacking.,no hacking,non-Englsih
781,No nazism or fascism.,no nazism or fascism,non-Englsih
782,No child porno,no child porno,non-Englsih
783,"Don't be racist, sexist, anti-queer",dont be racist sexist antiqueer,non-Englsih
784,No threats of violence,no threats of violence,English
785,No intentional misinformation,no intentional misinformation,non-Englsih
786,No doxxing,no doxxing,non-Englsih
787,日本の法律を遵守してください,日本の法律を遵守してください,non-Englsih
788,公序良俗に反する投稿は禁止です,公序良俗に反する投稿は禁止です,non-Englsih
789,無修正のR-18コンテンツの投稿は禁止です,無修正のr18コンテンツの投稿は禁止です,non-Englsih
790,適宜 CW/NSFW を活用してください,適宜 cwnsfw を活用してください,non-Englsih
791,適宜 ミュート/ブロック を活用してください,適宜 ミュートブロック を活用してください,non-Englsih
792,モデレーションは全て管理者の独断で行われます,モデレーションは全て管理者の独断で行われます,non-Englsih
793,みんながニコニコできる振る舞いを心がけましょう,みんながニコニコできる振る舞いを心がけましょう,non-Englsih
794,"Imagine you were about say whatever you're going to say to each of the people on the server individually. If you have hesitations about saying it, then it's probably wise to keep it to yourself.",imagine you were about say whatever youre going to say to each of the people on the server individually if you have hesitations about saying it then its probably wise to keep it to yourself,English
795,Don't do stupid shit,dont do stupid shit,non-Englsih
796,There is no spoon,there is no spoon,English
797,警察のお世話になるような事はしない,警察のお世話になるような事はしない,non-Englsih
798,人を傷つけるような事をしない,人を傷つけるような事をしない,non-Englsih
799,Don't talk about Fight Club,dont talk about fight club,English
800,DO NOT talk about Fight Club,do not talk about fight club,English
801,Conceal your intentions,conceal your intentions,English
802,Do not talk about Fight Club.,do not talk about fight club,English
803,DO NOT talk about Fight Club.,do not talk about fight club,English
804,Be kind,be kind,non-Englsih
805,Be nice to each other.,be nice to each other,English
806,Stay legal. Don't post anything that violates German law.,stay legal dont post anything that violates german law,English
807,"Spam, racist, sexist, hateful, or discriminating posts in any form are forbidden.",spam racist sexist hateful or discriminating posts in any form are forbidden,English
808,"Content Warning policy. Drugs, lewd posts and pictures, kinks must be listed with a content warning.",content warning policy drugs lewd posts and pictures kinks must be listed with a content warning,English
809,"Do not impersonate someone, unless for parody purposes. This includes using other peoples' artworks without permission.",do not impersonate someone unless for parody purposes this includes using other peoples artworks without permission,English
810,Parody accounts must be tagged as such clearly in their profile description.,parody accounts must be tagged as such clearly in their profile description,English
811,"Bots must be tagged as such, and bot owners must ensure they will have a minimal impact on the instance's performances.",bots must be tagged as such and bot owners must ensure they will have a minimal impact on the instances performances,English
812,You may not use a header image or avatar if it shows content that is listed to be content warned. ,you may not use a header image or avatar if it shows content that is listed to be content warned,English
813,"Don't repost artworks without crediting the artist. If you have a link to their gallery, perfect, if only their name, better than nothing. Claiming other's Artwork as your own may lead to suspension.",dont repost artworks without crediting the artist if you have a link to their gallery perfect if only their name better than nothing claiming others artwork as your own may lead to suspension,English
814,You must be 18 years of age or older,you must be 18 years of age or older,English
815,This server is for the exclusive use of the @BKC@cyber.harvard.edu account.,this server is for the exclusive use of the bkccyberharvardedu account,English
816,"Be decent, respectable, polite, fair. ",be decent respectable polite fair,non-Englsih
817,Be nice,be nice,English
818,No hate speech,no hate speech,English
819,No spam,no spam,non-Englsih
820,No content considered illegal within Belgium or EU,no content considered illegal within belgium or eu,English
821,"Hier herrscht eine friedliche Stimmung.
Bitte persönlich nach weiteren Regeln fragen.",hier herrscht eine friedliche stimmung bitte persönlich nach weiteren regeln fragen,non-Englsih
822,"Nothing interesting here, just my personnal Mastodon instance",nothing interesting here just my personnal mastodon instance,English
823,"Zero tolerance for nazis or racists of any kind, homophobes, transphobes, ablists, and the like.

blocks come swiftly and without justification. behave appropriately.",zero tolerance for nazis or racists of any kind homophobes transphobes ablists and the like blocks come swiftly and without justification behave appropriately,English
824,No twitter => mastodon cross-posting. Do it in the other direction if you must.,no twitter mastodon crossposting do it in the other direction if you must,English
825,No crypto-currency promotion.,no cryptocurrency promotion,English
826,Instances operated by companies with more than one billion euros of GDPR fines will be defederated,instances operated by companies with more than one billion euros of gdpr fines will be defederated,English
827,Don't be cringe,dont be cringe,English
828,Don't promote VC-backed companies or products,dont promote vcbacked companies or products,English
829,Don't do anything illegal.,dont do anything illegal,non-Englsih
830,Don't post an invite link to the public without checking if it's okay first.,dont post an invite link to the public without checking if its okay first,English
831,"If you're going to cause a lot of server load (i.e. uploading a LOT of media), check if it's okay first.",if youre going to cause a lot of server load ie uploading a lot of media check if its okay first,English
832,"Treat everyone with respect.  Absolutely no harassment, witch hunting, sexism, racism, or hate speech will be tolerated.",treat everyone with respect absolutely no harassment witch hunting sexism racism or hate speech will be tolerated,English
833,No spam or self-promotion without permission from a staff member.  This includes DMing fellow members.,no spam or selfpromotion without permission from a staff member this includes dming fellow members,English
834,"NSFW must be blurred and have warning.
No hard violence, or other graphically disturbing content.",nsfw must be blurred and have warning no hard violence or other graphically disturbing content,English
835,"If you see something against the rules or something that makes you feel unsafe, let staff know.  We want this instance to be a welcoming place!",if you see something against the rules or something that makes you feel unsafe let staff know we want this instance to be a welcoming place,English
836,"NSFW (Not Safe For Work), CW (Content Warning), 公開範囲設定はしっかり利用してください。 - 見たくない話題等についてはフィルターなどを利用して自衛してください。 - Botについては、Publicな投稿は避けて、過度な頻度でトゥートすることは避けてください。",nsfw not safe for work cw content warning 公開範囲設定はしっかり利用してください 見たくない話題等についてはフィルターなどを利用して自衛してください botについてはpublicな投稿は避けて過度な頻度でトゥートすることは避けてください,non-Englsih
837,法律は遵守してください。,法律は遵守してください,non-Englsih
838,Be cool.,be cool,English
839,BE KIND! ♥️,be kind ️,non-Englsih
840,"Do not harass, stalk, discriminate, or bully anyone.",do not harass stalk discriminate or bully anyone,English
841,Do not be oppressive or intolerant.,do not be oppressive or intolerant,non-Englsih
842,Do not engage with bullies.  Block them or their server and move on.,do not engage with bullies block them or their server and move on,English
843,"Do not flood the timeline with spam, bots, or otherwise inhuman content.",do not flood the timeline with spam bots or otherwise inhuman content,English
844,Do not misgender or deadname anyone purposefully.,do not misgender or deadname anyone purposefully,English
845,Do not share sensitive content without a CW (content warning).,do not share sensitive content without a cw content warning,English
846,Do not publish or boost extremist or illegal content.,do not publish or boost extremist or illegal content,English
847,Sexually explicit or violent media must be marked as sensitive when posting,sexually explicit or violent media must be marked as sensitive when posting,English
848,"No racism, sexism, homophobia, transphobia, xenophobia, or casteism",no racism sexism homophobia transphobia xenophobia or casteism,non-Englsih
849,No incitement of violence or promotion of violent ideologies,no incitement of violence or promotion of violent ideologies,English
850,"No harassment, dogpiling or doxxing of other users",no harassment dogpiling or doxxing of other users,English
851,No illegal content,no illegal content,non-Englsih
852,Do not share intentionally false or misleading information,do not share intentionally false or misleading information,English
853,No spamming or spammer-like behavior,no spamming or spammerlike behavior,non-Englsih
854,Be a kind human,be a kind human,non-Englsih
855,"No fascists, racists, transphobia, or bigots of any kind will be tolerated.  I dont care about your free speech - go tell it to your momma. ",no fascists racists transphobia or bigots of any kind will be tolerated i dont care about your free speech go tell it to your momma,English
856,"Beasts, kin, and hunters ONLY.",beasts kin and hunters only,English
857,여러분의 다양한 주제를 자유롭게 나눌 수 있는 오픈코스 마스토돈입니다.,여러분의 다양한 주제를 자유롭게 나눌 수 있는 오픈코스 마스토돈입니다,non-Englsih
858,인종 / 성 지향 및 정체성 / 장애 / 지역 및 국적 등을 이유로 다른 사람을 차별하는 행위를 금지합니다.,인종 성 지향 및 정체성 장애 지역 및 국적 등을 이유로 다른 사람을 차별하는 행위를 금지합니다,non-Englsih
859,선정적이거나 보고 싶지 않은 내용이 있을 때는 뮤트를 해주시고 추가로 차단이나 신고 기능을 이용해 주세요.,선정적이거나 보고 싶지 않은 내용이 있을 때는 뮤트를 해주시고 추가로 차단이나 신고 기능을 이용해 주세요,non-Englsih
860,후방주의 등 민감한 내용은 CW(글 가리기) 기능을 이용해 가려서 올려주세요.,후방주의 등 민감한 내용은 cw글 가리기 기능을 이용해 가려서 올려주세요,non-Englsih
861,무분별한 비방이나 불법적인 주제를 요구하는 경우 경고후 차단 조치합니다.,무분별한 비방이나 불법적인 주제를 요구하는 경우 경고후 차단 조치합니다,non-Englsih
862,"봇은 로컬이나 글로벌 타임라인이 아닌, 홈 타임라인에서만 보일 수 있도록 해주세요.",봇은 로컬이나 글로벌 타임라인이 아닌 홈 타임라인에서만 보일 수 있도록 해주세요,non-Englsih
863,From the neighborhood? Come join us!,from the neighborhood come join us,English
864,Keep it wholesome -- safe enough for kids and respectful enough for the Pope or any monk or nun.,keep it wholesome safe enough for kids and respectful enough for the pope or any monk or nun,English
865,"Don't be a jerk. No harassment, bullying or doxxing.",dont be a jerk no harassment bullying or doxxing,English
866,Be a peacekeeper/peacemaker. No incitement of violence or promotion of violent ideologies.,be a peacekeeperpeacemaker no incitement of violence or promotion of violent ideologies,English
867,Abide by the law. No illegal content whatsoever.,abide by the law no illegal content whatsoever,English
868,Be a good neighbor. Be helpful and kind. But do be honest too.,be a good neighbor be helpful and kind but do be honest too,English
869,Don't be rude,dont be rude,non-Englsih
870,Don't harass anyone,dont harass anyone,English
871,Don't be an asshole,dont be an asshole,English
872,Acepto seguir las normas,acepto seguir las normas,non-Englsih
873,"No toxic and hateful speech. We have a zero-tolerance policy on attacks against anyone’s gender identity or expression, sexual orientation, race, ethnicity, nationality, religion, age, disability, personal appearance, or socio-economic status.",no toxic and hateful speech we have a zerotolerance policy on attacks against anyones gender identity or expression sexual orientation race ethnicity nationality religion age disability personal appearance or socioeconomic status,English
874,"No incitement of violence and no promotion of misleading or violent ideologies. 
",no incitement of violence and no promotion of misleading or violent ideologies,English
875,"No harassment, dogpiling, or unwanted advances. You may not continue to engage with a user who has explicitly requested that you stop. ",no harassment dogpiling or unwanted advances you may not continue to engage with a user who has explicitly requested that you stop,English
876,No doxxing of other users. Unauthorised requests for or distribution of any personal information or data is not allowed. Please treat personally identifying information with respect and privacy.,no doxxing of other users unauthorised requests for or distribution of any personal information or data is not allowed please treat personally identifying information with respect and privacy,English
877,"No content illegal in Canada or copyrighted content that you don't own rights to. Illegal or copyrighted content is not allowed to be stored, posted, or discussed on this instance.",no content illegal in canada or copyrighted content that you dont own rights to illegal or copyrighted content is not allowed to be stored posted or discussed on this instance,English
878,Sexually explicit or violent media must be marked appropriately. Posts and images with sexually explicit or violence must be flagged as sensitive and contain a content warning. Users may not have sexually explicit or violent media as a profile photo or header image. ,sexually explicit or violent media must be marked appropriately posts and images with sexually explicit or violence must be flagged as sensitive and contain a content warning users may not have sexually explicit or violent media as a profile photo or header image,English
879,"No spamming. Excessive posting, boosting, advertising or mass-marketing posts will be actioned accordingly and based on intent.
",no spamming excessive posting boosting advertising or massmarketing posts will be actioned accordingly and based on intent,English
880,"Be yourself. Accounts intended to impersonate or parody are not permitted, and those found to be directly misrepresenting themselves as another person or entity will be actioned accordingly.",be yourself accounts intended to impersonate or parody are not permitted and those found to be directly misrepresenting themselves as another person or entity will be actioned accordingly,English
881,Treat others respectfully,treat others respectfully,English
882,Use an appropriate tone,use an appropriate tone,non-Englsih
883,Respect the privacy of others,respect the privacy of others,English
884,Compliance with applicable law,compliance with applicable law,English
885,Avoid misinformation ,avoid misinformation,non-Englsih
886,No spam posts,no spam posts,non-Englsih
887,Mark sensitive content,mark sensitive content,non-Englsih
888,Only share poems that you have written and have the permission to share.,only share poems that you have written and have the permission to share,English
889,"No illegal content, or solicitation of illegal services",no illegal content or solicitation of illegal services,non-Englsih
890,"No personal attacks or comments rooted in racism, sexism, homophobia, transphobia, casteism, ableism etc.",no personal attacks or comments rooted in racism sexism homophobia transphobia casteism ableism etc,English
891,"No AI generated content, spam, or malicious links.",no ai generated content spam or malicious links,English
892,No plagiarism. All original content is copyrighted by the poet and cannot be distributed or used without prior permission by the poet.,no plagiarism all original content is copyrighted by the poet and cannot be distributed or used without prior permission by the poet,English
893,No NSFW visual content or pornography.,no nsfw visual content or pornography,non-Englsih
894,"Use Content Warnings for posts which contain depictions of sexual assault, self-harm or violence.",use content warnings for posts which contain depictions of sexual assault selfharm or violence,English
895,"No doxxing (revealing another's personal information such as legal names, phone numbers or addresses)",no doxxing revealing anothers personal information such as legal names phone numbers or addresses,English
896,Believe that people are fundamentally good. This takes courage.,believe that people are fundamentally good this takes courage,English
897,"LOVE, PEACE AND APPLE",love peace and apple,English
898,Be positive. Be Kind. Be helpful. Answer questions. Provide Answers.,be positive be kind be helpful answer questions provide answers,English
899,No Crypto or NFT links. Moderate your self-promotion. The Mastodon community is not a marketplace.,no crypto or nft links moderate your selfpromotion the mastodon community is not a marketplace,English
900,No hate speech. No cruelty. No Trolls.,no hate speech no cruelty no trolls,non-Englsih
901,"No NSFW
",no nsfw,non-Englsih
902,No Illegal Content,no illegal content,non-Englsih
903,- be nice,be nice,English
904,,,Error
905,,,Error
906,,,Error
907,,,Error
908,,,Error
909,,,Error
910,"Follow the spirit of the Fuzzy Systems mission statement - encouraging an open internet, welcoming to everyone.",follow the spirit of the fuzzy systems mission statement encouraging an open internet welcoming to everyone,English
911,"Respect boundaries set by others, listen. Apologize if you overstep them. Give space. Failure to do so is an instant ban.",respect boundaries set by others listen apologize if you overstep them give space failure to do so is an instant ban,English
912,"Instead of escalating, flag toots for an admin to look into. We're not overcrowded here.",instead of escalating flag toots for an admin to look into were not overcrowded here,English
913,"CW anything that might potentially upset someone, including NSFW content.",cw anything that might potentially upset someone including nsfw content,English
914,"Ableism, racism, sexism, transphobia, xenophobia, and microaggressions are all forbidden - you'll be banned if you repeatedly do it or if it's serious, but we all make mistakes and have things to unlearn.",ableism racism sexism transphobia xenophobia and microaggressions are all forbidden youll be banned if you repeatedly do it or if its serious but we all make mistakes and have things to unlearn,English
915,No content illegal in Sweden.,no content illegal in sweden,non-Englsih
916,"No racism, sexism, homophobia, transphobia, or xenophobia,",no racism sexism homophobia transphobia or xenophobia,non-Englsih
917,No sexually explicit or violent media.,no sexually explicit or violent media,English
918,No incitement of violence or promotion of violent ideologies. ,no incitement of violence or promotion of violent ideologies,English
919,Do not share false or misleading information that may lead to physical harm,do not share false or misleading information that may lead to physical harm,English
920,"Humour is legal again, subject to the whims of the owner.",humour is legal again subject to the whims of the owner,English
921,follow the rules,follow the rules,English
922,do not follow the rules,do not follow the rules,English
923,be nice except when you are not nice,be nice except when you are not nice,English
924,Follow your local laws and US laws,follow your local laws and us laws,English
925,Don't be a dick.,dont be a dick,English
926,Be nice.,be nice,English
927,No hate speech.,no hate speech,English
928,No racism or hatred against minority groups.,no racism or hatred against minority groups,English
929,No Bigotry,no bigotry,non-Englsih
930,公序良俗に反する、またはそれらを助長するいかなる投稿を禁止します。これには、違法な行為、不適切な言葉遣い、暴力や性的内容を含む画像、動画を投稿したり共有する行為が含まれます。,公序良俗に反するまたはそれらを助長するいかなる投稿を禁止しますこれには違法な行為不適切な言葉遣い暴力や性的内容を含む画像動画を投稿したり共有する行為が含まれます,non-Englsih
931,人種、宗教、性別、性的指向、国籍、障碍、またはその他の特定のグループに対する蔑視や侮辱を目的とした差別的な言語使用を禁止します。誰もが安全に利用できるコミュニティを維持するため、ヘイトスピーチや差別的な発言は許容されません。,人種宗教性別性的指向国籍障碍またはその他の特定のグループに対する蔑視や侮辱を目的とした差別的な言語使用を禁止します誰もが安全に利用できるコミュニティを維持するためヘイトスピーチや差別的な発言は許容されません,non-Englsih
932,他のユーザーや第三者を威嚇、脅迫、人を傷つけるような言葉遣いは一切禁止します。また、暴力的な表現、脅迫、侮辱、人格攻撃など、他人を不快にさせる全ての行為を禁じます。,他のユーザーや第三者を威嚇脅迫人を傷つけるような言葉遣いは一切禁止しますまた暴力的な表現脅迫侮辱人格攻撃など他人を不快にさせる全ての行為を禁じます,non-Englsih
933,第三者の著作物を侵害する行為は禁止します。これには、イラスト、音楽、映像、文学作品、写真などが含まれます。著作権や知的財産権を尊重することが求められます。,第三者の著作物を侵害する行為は禁止しますこれにはイラスト音楽映像文学作品写真などが含まれます著作権や知的財産権を尊重することが求められます,non-Englsih
934,他ユーザー、および第三者の個人情報を共有する行為は禁止します。これには、住所、電話番号、メールアドレスなど、特定の個人を特定できる情報が含まれます。,他ユーザーおよび第三者の個人情報を共有する行為は禁止しますこれには住所電話番号メールアドレスなど特定の個人を特定できる情報が含まれます,non-Englsih
